17121	104	8	29.52
719	1361	3	14.54
12	33698	3	7.89
121	1973	39	174.87
682	1331	4	20.94
2727	545	5	34.04
200	15230	4	33.26
746	2362	12	106.31
110	16364	4	16.48
5861	133	4	14.15
103	19251	3	6.13
11305	103	7	15.69
26498	9	6	55.06
239	199	11	10.56
332	1722	23	182.53
3335	104	57	187.27
101	34940	5	18.27
33309	12	3	7.89
31774	1636	4	62.58
3522	110	5	4.43
105	23215	4	13.84
5662	546	3	22.65
164	8534	3	15.48
28274	289	4	46.23
14526	591	8	99.78
126	5010	3	6.38
6014	124	5	16.43
21493	12	6	15.78
111	11778	3	8.61
3107	116	13	40.12
187	3938	3	11.21
3315	14	18	7.03
101	2400	29	10.67
132	3129	14	62.56
218	1427	32	220.91
308	549	20	101.83
6288	748	4	36.13
23816	119	3	17.2
41695	104	3	13.15
1601	23116	15	277.38
129	3237	6	15.3
1681	157	6	15.37
25130	12	7	25.11
128	1125	71	359.04
157	610	6	5.22
1653	205	13	67.08
5936	2039	3	31.28
161	1137	6	11.99
16	61	3	20.3
246	2989	4	18.77
12	668	97	31.56
248	2198	6	28.97
191	720	5	7.4
104	1227	50	52.85
28940	104	8	44.97
62956	104	3	18.07
5543	15969	3	46.77
130	5341	8	34.01
379	3328	7	50.81
112	77385	3	30.02
103	5567	7	4.96
8435	116	3	8.09
480	999	3	10.51
12	4643	23	28.76
5593	14	14	12.33
921	1038	3	14.55
385	175	29	89.36
1200	8158	11	141.49
384	786	30	211.95
101	6873	19	30.35
4	55361	3	35.07
863	1572	3	16.57
158	6683	5	26.63
130	7595	10	56.34
194	42405	3	32.32
1567	268	7	32.81
130	6196	5	18.55
5974	114	3	5.27
101	4230	31	42.68
2640	5909	8	104.21
1083	126	12	18.79
103	5718	18	41.31
15445	510	5	56.71
102	6098	11	14.74
1435	12	45	16.16
101	6720	9	4.1
106	26037	3	10.1
103	8207	8	13.38
105	7464	16	48.73
2034	78377	3	58.44
41866	14	3	9.72
8313	284	11	108.45
103	3238	12	6.68
7340	12	8	4.68
247	190	18	27.29
283	170	12	11.17
251	1700	3	9.06
313	1382	3	9.99
113	13660	3	10.92
135	2644	3	4.29
1236	106	35	33.48
23268	221	4	40.17
1655	118	7	6.58
101	51074	3	11.61
163	1168	13	44.8
120	14534	6	33.98
2642	213	5	22.38
7950	2	3	9.86
102	1130	327	1417.53
151	6867	4	18.25
11905	12	7	9.44
864	1164	5	29.61
101	39198	3	8.98
3486	14	20	11.28
16153	110	3	10.39
1447	105	96	265.52
1646	4546	3	27.83
20406	103	3	6.68
13617	20084	4	77.52
127	394	21	19.34
130	16895	3	16.33
271	4076	3	15.51
24227	101	6	16.99
715	21	6	7.5
22173	103	3	7.32
105	17284	3	6.27
57	16015	4	18.03
155	1844	9	29.67
6378	348	11	106.51
151	2410	7	22.4
332	1379	45	397.14
110	13655	9	47.6
9187	152	5	28.99
6347	103	7	6.59
121	3614	8	21.95
126	2747	5	8.89
11333	108	4	11.32
1442	5235	3	28.01
211	2448	6	27.73
113	28957	3	17.46
12	22688	4	8.16
111	8765	3	6.4
9344	14	16	36.89
5119	112	77	601.08
17429	124	7	49.12
1953	12	46	35.73
4001	104	19	30.16
8962	1682	5	60.78
101	38946	3	8.98
1091	302	15	87.75
577	853	10	58.64
101	21322	9	30.37
719	224	24	119.62
2774	14200	4	56.63
150	2042	10	35.03
1772	106	35	53.91
842	16	40	187.14
101	18840	4	5.43
5835	104	10	13.23
271	249	12	23.9
101	36337	3	8.06
812	170	4	3.91
4808	102	9	5.54
10970	126	4	18.51
16	36980	4	40.36
576	486	5	17.16
571	1656	15	120.05
920	3780	4	32.77
189	5152	3	13.22
1916	1255	10	91.24
103	6530	8	9.49
12561	108	9	43.03
1436	677	4	21.51
925	103	43	20.8
3989	14	19	13.42
10425	180	8	64.31
6136	107	18	74.61
15665	575	7	86.4
220	5832	4	24.05
2165	7188	11	151.78
1883	183	6	20.01
104	2189	17	7.78
11819	106	3	4.02
1779	839	5	33.8
14664	102	13	52.56
19016	113	5	28.56
132	3757	3	5.98
1138	113	12	10.31
1174	132	5	4.11
1285	13654	5	64.14
135	1418	6	8.64
133	1650	10	24.9
102	824	55	25.68
1811	3466	4	37.51
10128	114	3	9.07
22665	14	3	4.31
103	948	38	14.16
4367	125	6	17.4
104	577	46	5.13
2227	530	43	460.56
1780	12	28	4.18
12	3524	27	26.18
105	2841	18	20.35
188	3009	3	9.53
157	3450	3	8.25
725	1710	4	23.61
129	2803	10	31.89
3283	1031	4	32.34
9741	14	6	4.38
216	255	66	301.81
313	243	10	20.5
27686	14	6	21.76
162	943	7	13.73
627	266	19	90.54
2130	122	11	25.29
102	483	274	574.03
595	1602	10	71.95
17610	102	4	8.32
104	730	46	12.91
569	1689	3	14.52
4468	122	4	8.18
574	582	10	50.57
474	168	322	2661.24
14927	803	4	46.55
23026	104	4	12.6
105	4325	10	9.94
8281	109	9	32.29
2968	836	3	20.61
8153	12	13	19.72
131	6765	4	14.71
37642	844	4	59.5
15664	14	6	10.69
162	6489	4	19.88
16606	14	4	4.84
123	733	18	24.06
181	159	39	44.29
631	34801	9	153.06
4232	2313	3	29.46
9769	104	11	30.02
185	4104	8	45.9
2826	101	66	125.35
306	460	8	24.27
516	2614	3	16.78
3937	155	5	18.98
14557	1616	3	37.24
110	9042	3	5.95
935	1697	10	82.77
37683	14	3	8.79
11362	106	18	86.92
7133	103	6	5.68
1414	597	4	20.47
1046	13997	3	34.15
486	21	9	11.85
8992	135	3	12.42
1786	10247	3	34.91
551	727	24	171.09
196	3017	5	21.78
13680	103	4	6.79
261	406	14	46.28
105	30343	5	24.27
137	2927	9	32.21
41195	109	5	38.52
6807	12	12	11.91
4410	124	4	8.69
665	1148	3	13.01
14326	818	6	74.63
196	774	6	12.06
1723	443	22	184.91
1211	131	12	24.74
108	1421	33	68.51
697	445	3	7.94
3567	139	8	31.37
3603	122	4	6.32
4461	114	4	6.56
101	27010	3	5.09
28259	14	3	6.22
57	4457	12	39.46
187	26424	3	27.24
10316	105	8	20.42
7120	106	12	30.95
2959	565	3	18.11
2	9837	6	31.57
2996	104	14	8.94
6128	836	12	138.32
508	11546	4	39.78
205	132	91	197.03
1827	2627	22	270.65
203	1372	3	6.15
609	430	9	39.53
105	14988	7	23.19
676	227	13	48.15
54612	103	4	25.04
148	85	28	25.38
1857	175	3	5.73
324	230	18	54.56
642	3245	14	134.39
101	14058	20	79.8
2146	51906	3	52.09
15738	102	11	42.73
2819	107	12	19.29
12	10230	20	59.87
101	9610	23	67.51
4038	101	20	12.6
429	373	3	4.76
77587	102	3	21.63
116	4452	4	7.06
113	5080	13	50.95
2883	6501	3	34.31
5477	581	18	203.57
