1746	140	6	11.39
11624	143	17	172.23
10254	8	6	43.63
345	184	23	48.76
855	365	7	27.41
247	852	18	83.92
1482	12	20	13.19
15168	14	7	23.57
909	244	44	289.82
4163	220	6	36.8
5507	428	5	42.23
3589	1106	11	122.1
1068	121	112	596.63
257	1272	8	33.25
12302	101	10	34.81
10262	105	3	5.34
5267	107	5	6.77
17201	8	3	22.77
1113	313	3	7.65
102	1056	31	4.12
424	8043	3	25.52
9591	553	7	80.72
1028	135	8	9.85
26388	2923	6	123.64
1569	1226	11	99.54
998	167	7	13.78
491	630	7	27.28
104	5572	7	8.49
5088	290	4	27.1
5598	102	10	14.86
7643	106	6	13.82
16185	105	3	9.69
1571	2283	4	34.45
228	4417	16	135.72
453	2057	36	356.24
1802	10848	3	39.07
3069	1474	3	26.01
552	273	55	333.77
1029	2129	3	20.67
582	310	4	6.69
1507	444	6	32.02
2117	1298	5	41.95
16148	28852	4	99.21
2468	103	17	13.4
1442	101	45	26.47
1414	9	5	7.66
10872	104	4	7.89
4603	112	8	18.41
359	562	10	35.36
5716	337	14	142.3
10290	107	3	6.45
9390	10632	3	53.09
9264	109	3	6.47
102	2502	16	8.5
291	929	4	9.98
7345	101	8	11.08
135	3038	3	5.54
228	108	512	1167.41
1755	415	6	33.39
12818	141	5	35.97
105	1880	19	17.35
1273	2558	8	78.72
196	231	16	14.09
1172	16906	5	73.91
605	839	5	21.75
5638	107	6	10.83
369	805	6	20.75
4644	527	4	31.97
107	8576	5	13.05
105	22761	3	13.43
3493	102	39	107.6
1965	2264	3	25.93
19390	106	4	18.74
112	11432	5	20.3
12	10689	7	26
5991	118	8	34.58
122	1142	7	4.35
7983	124	16	115.88
9609	517	7	79.75
157	1224	4	4.75
3729	118	7	18.83
107	15279	3	10.08
664	1425	33	316.58
724	2524	3	19.48
16	847	5	13.01
6352	104	53	341.9
1842	1163	4	29.51
109	9514	3	6.62
5124	112	13	46.19
22395	121	4	31.57
6568	2923	3	38.16
544	14233	4	46.37
11363	198	4	32.75
1960	101	25	9.83
397	3796	4	26.87
498	138	20	27.41
793	3426	4	32.33
158	873	11	24.81
182	523	10	15.81
3212	115	6	11.15
228	34845	3	37.72
12	13855	4	13.85
7359	15209	3	54.44
12648	104	5	14.46
12136	3328	4	62.51
3345	389	3	17.22
308	1921	28	229.99
5840	105	12	33.69
554	1461	16	123.68
